opp_id,account_id,deal_name,stage,amount,close_date,probability,next_step
OPP-00001,SF-00001,Innovate Extensible Relationships,Prospecting,341613.76,2026-03-28,10,Like he position peace indicate.
OPP-00002,SF-00001,Exploit Leading-Edge Interfaces,Qualification,454157.51,2026-03-28,25,Certain start affect budget pay health movie rock.
OPP-00003,SF-00001,Incentivize Magnetic Supply-Chains,Qualification,125668.68,2026-03-28,25,Agree Democrat his.
OPP-00004,SF-00002,Engage Efficient Methodologies,Prospecting,276982.79,2026-03-28,10,Sing ball wish might stock per.
OPP-00005,SF-00003,Redefine B2C Action-Items,Closed Won,6925.01,2026-03-28,100,
OPP-00006,SF-00004,Re-Contextualize Synergistic Networks,Closed Lost,491864.86,2026-03-28,0,
OPP-00007,SF-00005,Synthesize Magnetic Web-Readiness,Negotiation,492350.61,2026-03-28,75,Back customer eye boy again fund care.
OPP-00008,SF-00005,Leverage Open-Source Experiences,Proposal,482403.35,2026-03-28,50,Somebody lead single item task five.
OPP-00009,SF-00005,Revolutionize Interactive Architectures,Proposal,418164.5,2026-03-28,50,Red whom couple go.
OPP-00010,SF-00006,Orchestrate B2B Deliverables,Proposal,472595.05,2026-03-28,50,Tax meeting language.
OPP-00011,SF-00006,Leverage Killer Architectures,Proposal,133666.86,2026-03-28,50,Down bar respond site.
OPP-00012,SF-00006,Facilitate Clicks-And-Mortar Eyeballs,Closed Won,262641.61,2026-03-28,100,
OPP-00013,SF-00007,Cultivate Turn-Key Roi,Closed Won,84035.67,2026-03-28,100,
OPP-00014,SF-00007,Strategize Customized Functionalities,Proposal,169902.29,2026-03-28,50,Moment American receive.
OPP-00015,SF-00008,Deliver B2B Paradigms,Qualification,386075.22,2026-03-28,25,Figure dream use say common national.
OPP-00016,SF-00009,Whiteboard Wireless E-Business,Closed Won,123789.91,2026-03-28,100,
OPP-00017,SF-00010,Mesh Back-End Partnerships,Closed Won,283413.11,2026-03-28,100,
OPP-00018,SF-00010,Optimize Cutting-Edge Paradigms,Proposal,335652.25,2026-03-28,50,Pick television season as.
OPP-00019,SF-00010,Transform Global Convergence,Proposal,408898.89,2026-03-28,50,Work situation skill make check model speech.
OPP-00020,SF-00011,Engineer Transparent Networks,Prospecting,51504.3,2026-03-28,10,Administration campaign from animal black health turn.
OPP-00021,SF-00011,Repurpose E-Business E-Tailers,Closed Won,197904.4,2026-03-28,100,
OPP-00022,SF-00012,Harness Collaborative Web-Readiness,Prospecting,222250.16,2026-03-28,10,Page car business series idea above perform.
OPP-00023,SF-00013,Envisioneer Holistic Web Services,Qualification,234716.6,2026-03-28,25,Protect specific board spend occur enter.
OPP-00024,SF-00014,Deploy Mission-Critical Metrics,Qualification,178377.6,2026-03-28,25,Task should product lawyer fire.
OPP-00025,SF-00015,Expedite Plug-And-Play Channels,Closed Won,189027.79,2026-03-28,100,
OPP-00026,SF-00016,Empower Innovative Platforms,Closed Won,328916.57,2026-03-28,100,
OPP-00027,SF-00017,E-Enable Frictionless Roi,Proposal,208256.63,2026-03-28,50,Usually public eye human others city rest far.
OPP-00028,SF-00018,Reinvent User-Centric E-Tailers,Closed Won,306902.82,2026-03-28,100,
OPP-00029,SF-00018,Extend Out-Of-The-Box Supply-Chains,Closed Won,328070.22,2026-03-28,100,
OPP-00030,SF-00018,Streamline B2C Action-Items,Prospecting,277780.09,2026-03-28,10,Participant prepare walk.
OPP-00031,SF-00019,Strategize Enterprise Infrastructures,Closed Won,444960.62,2026-03-28,100,
OPP-00032,SF-00019,Enable World-Class E-Business,Closed Lost,290758.76,2026-03-28,0,
OPP-00033,SF-00019,Integrate Next-Generation Channels,Closed Won,327462.47,2026-03-28,100,
OPP-00034,SF-00020,Implement B2C E-Services,Closed Won,91207.82,2026-03-28,100,
OPP-00035,SF-00020,Engineer Vertical Platforms,Proposal,12639.46,2026-03-28,50,Anything book attorney catch water.
OPP-00036,SF-00020,Incubate Transparent Mindshare,Negotiation,393075.25,2026-03-28,75,Option international most lot whom.
OPP-00037,SF-00021,Exploit E-Business Roi,Negotiation,284190.16,2026-03-28,75,Time bank add cover.
OPP-00038,SF-00021,Repurpose Wireless Paradigms,Closed Won,485320.13,2026-03-28,100,
OPP-00039,SF-00022,Productize Seamless Portals,Closed Won,334325.99,2026-03-28,100,
OPP-00040,SF-00022,Engineer Enterprise E-Business,Closed Won,472945.55,2026-03-28,100,
OPP-00041,SF-00023,Implement Revolutionary Relationships,Prospecting,182670.42,2026-03-28,10,Plan also commercial similar so.
OPP-00042,SF-00023,Facilitate Mission-Critical Functionalities,Negotiation,13446.99,2026-03-28,75,Leave almost after store everybody into service.
OPP-00043,SF-00024,Orchestrate Extensible Paradigms,Closed Lost,332836.88,2026-03-28,0,
OPP-00044,SF-00025,Maximize Revolutionary Experiences,Negotiation,470685.1,2026-03-28,75,Plant what despite media forward whom.
OPP-00045,SF-00025,Brand Interactive Platforms,Negotiation,420455.9,2026-03-28,75,Own civil style under although ability probably.
OPP-00046,SF-00026,Visualize Proactive Methodologies,Proposal,121050.49,2026-03-28,50,West try religious.
OPP-00047,SF-00026,Syndicate Front-End Mindshare,Closed Won,234353.61,2026-03-28,100,
OPP-00048,SF-00026,Whiteboard 24/7 Systems,Closed Won,136799.02,2026-03-28,100,
OPP-00049,SF-00027,Enhance Robust Action-Items,Proposal,36993.95,2026-03-28,50,Dog group political stock memory simply reflect real.
OPP-00050,SF-00027,Evolve Ubiquitous Web-Readiness,Closed Won,272807.54,2026-03-28,100,
OPP-00051,SF-00028,Incubate Innovative E-Tailers,Negotiation,495624.18,2026-03-28,75,Box continue other job together.
