tracking_id,shipping_ref,carrier_name,expected_date,delivery_date,status_code,weight_kg,destination_zip
TRK-vD62031591,SH-ogs-361721,Jordan-Carter Logistics,07/31/2025,08/03/2025,4,7.5,26140
TRK-yb14305961,SH-Mjl-951510,"Harris, Adams and Martin Logistics",12/26/2024,12/28/2024,4,9.9,48063
TRK-GT05035183,SH-Nsw-592624,"Harris, Adams and Martin Logistics",02/18/2025,02/20/2025,4,42.7,53013
TRK-ik04008198,SH-jXP-475410,Marshall Ltd Logistics,01/06/2026,01/06/2026,4,15.3,86473
TRK-uw28328006,SH-KBU-267711,Woodard-Guzman Logistics,07/27/2024,07/30/2024,4,8.4,50978
TRK-kp42458197,SH-uFB-152265,Jordan-Carter Logistics,11/07/2024,11/08/2024,4,19.9,74436
TRK-gz61242226,SH-AJF-695236,"Griffin, Brown and Lawrence Logistics",03/24/2025,03/23/2025,4,13.2,57915
TRK-XL33660538,SH-LTA-788361,Woodard-Guzman Logistics,05/17/2025,05/20/2025,4,28.6,37247
TRK-UX45249054,SH-bxJ-313503,Kramer and Sons Logistics,05/03/2025,05/04/2025,4,26.1,09354
TRK-DM32371535,SH-sDj-210552,Johnson-Griffin Logistics,03/22/2025,03/23/2025,4,27.3,44944
TRK-Og39455928,SH-Vih-863330,Kramer and Sons Logistics,12/11/2025,12/12/2025,4,42.1,94736
TRK-mf51547365,SH-SgQ-260650,"Harris, Adams and Martin Logistics",03/18/2026,03/21/2026,4,19.3,75493
TRK-ur33665203,SH-jfp-792025,"Griffin, Brown and Lawrence Logistics",06/13/2025,06/12/2025,4,23.9,53716
TRK-Tg12805439,SH-VHS-962272,"Johnson, Davies and Cortez Logistics",06/03/2024,06/08/2024,4,38.6,27506
TRK-dh22556001,SH-hjd-765704,"Harris, Adams and Martin Logistics",03/12/2026,03/17/2026,4,45.6,38824
TRK-Dq54783643,SH-zBR-092820,Jordan-Carter Logistics,01/19/2026,01/20/2026,4,0.7,67150
TRK-Sg26232986,SH-ToB-784984,Kramer and Sons Logistics,03/12/2026,03/14/2026,4,27.7,73612
TRK-Xe89186359,SH-ozl-623690,Marshall Ltd Logistics,06/19/2024,06/24/2024,4,4.4,19181
TRK-Zc47043124,SH-PPz-891775,"Harris, Adams and Martin Logistics",11/29/2025,,3,19.0,17597
TRK-TY14099149,SH-gge-205634,Jordan-Carter Logistics,12/08/2025,12/07/2025,4,43.5,20524
TRK-fY14171019,SH-gen-503428,Jordan-Carter Logistics,01/08/2025,01/07/2025,4,46.5,42270
TRK-ql40224806,SH-rfK-438303,Jordan-Carter Logistics,06/16/2025,06/16/2025,4,30.3,01918
TRK-Rd48863320,SH-taw-970051,Woodard-Guzman Logistics,05/31/2025,,3,14.6,94651
TRK-Dm26839700,SH-iSR-683565,Woodard-Guzman Logistics,10/14/2025,10/17/2025,4,34.3,35735
TRK-Bf95381013,SH-LYy-681820,Jordan-Carter Logistics,06/24/2024,06/25/2024,4,22.9,11671
TRK-gm50647566,SH-OfT-042271,Jordan-Carter Logistics,03/26/2025,03/27/2025,4,28.6,80519
TRK-os61107647,SH-XvC-228898,"Harris, Adams and Martin Logistics",08/19/2025,08/18/2025,4,36.7,04722
TRK-rU36184061,SH-nNM-596063,Marshall Ltd Logistics,12/15/2024,,6,46.8,93801
TRK-eG85460081,SH-XtJ-297102,Jordan-Carter Logistics,06/03/2024,06/03/2024,4,12.1,38405
TRK-Vl65032077,SH-ske-171752,Marshall Ltd Logistics,01/10/2026,,3,25.2,53727
TRK-hP15684933,SH-qEq-551127,Johnson-Griffin Logistics,10/28/2024,10/27/2024,4,29.2,37697
TRK-os76846388,SH-xsz-721970,"Johnson, Davies and Cortez Logistics",10/12/2025,,6,39.5,72110
TRK-vS63018844,SH-uxf-927589,Woodard-Guzman Logistics,02/04/2025,02/05/2025,4,19.0,89740
TRK-jX02528431,SH-VYp-874090,Marshall Ltd Logistics,08/19/2025,08/21/2025,4,37.7,74562
TRK-lX54313035,SH-kKz-802146,Kramer and Sons Logistics,09/12/2025,09/14/2025,4,4.1,78203
TRK-Cl47239006,SH-Dgf-715778,Kramer and Sons Logistics,09/26/2024,09/26/2024,4,39.3,67698
